Name,AOT/build sec,Warmup start ms,Warmup req/s,Startup ms,5s run req/s,15s run req/s
Crac se,16.06,384,369144.07,20,349244.56,375627.50
Leyden se,28.99,531,366131.32,126,362764.13,382723.54
Nativeimage se,50.70,,,8,374634.48,378269.27
Nativeimage-pgo se,114.04,38,247108.15,6,438387.36,429550.39
Vanilla se,5.73,,,383,347570.57,379447.77
Crac mp,17.62,1620, 95163.17,32, 92553.57, 99893.59
Leyden mp,82.71,3374, 88586.15,615, 73935.23, 85436.14
Nativeimage mp,96.47,,,37, 77167.15, 79602.40
Nativeimage-pgo mp,239.37,142, 27249.80,31, 94230.85, 96838.39
Vanilla mp,11.64,,,1597, 73078.18,101808.88
